Y	VEL
0.318	-0.14756
0.319	-0.14796
0.32	-0.14835
0.321	-0.14875
0.322	-0.14914
0.323	-0.14954
0.324	-0.14993
0.325	-0.15033
0.326	-0.15072
0.327	-0.15111
0.328	-0.15151
0.329	-0.1519
0.33	-0.1523
0.331	-0.15269
0.332	-0.15309
0.333	-0.15348
0.334	-0.15388
0.335	-0.15427
0.336	-0.15467
0.337	-0.15506
0.338	-0.15546
0.339	-0.15585
0.34	-0.15625
0.341	-0.15664
0.342	-0.15703
0.343	-0.15737
0.344	-0.15772
0.345	-0.15807
0.346	-0.15842
0.347	-0.15877
0.348	-0.15912
0.349	-0.15947
0.35	-0.15982
0.351	-0.16017
0.352	-0.16052
0.353	-0.16087
0.354	-0.16122
0.355	-0.16157
0.356	-0.16192
0.357	-0.16227
0.358	-0.16262
0.359	-0.16297
0.36	-0.16332
0.361	-0.16367
0.362	-0.16401
0.363	-0.16436
0.364	-0.16471
0.365	-0.16506
0.366	-0.16541
0.367	-0.16576
0.368	-0.16611
0.369	-0.16646
0.37	-0.16681
0.371	-0.16716
0.372	-0.16751
0.373	-0.16786
0.374	-0.16821
0.375	-0.16856
0.376	-0.16891
0.377	-0.16926
0.378	-0.1696
0.379	-0.16995
0.38	-0.1703
0.381	-0.17065
0.382	-0.171
0.383	-0.17135
0.384	-0.1717
0.385	-0.17205
0.386	-0.1724
0.387	-0.17275
0.388	-0.1731
0.389	-0.17344
0.39	-0.17379
0.391	-0.17414
0.392	-0.17449
0.393	-0.17484
0.394	-0.17519
0.395	-0.17554
0.396	-0.17589
0.397	-0.17624
0.398	-0.17659
0.399	-0.17693
0.4	-0.17728
0.401	-0.17763
0.402	-0.17798
0.403	-0.17833
0.404	-0.17868
0.405	-0.17903
0.406	-0.17938
0.407	-0.17973
0.408	-0.18008
0.409	-0.18043
0.41	-0.18077
0.411	-0.18112
0.412	-0.18147
0.413	-0.18182
0.414	-0.18217
0.415	-0.18252
0.416	-0.18287
0.417	-0.18322
0.418	-0.18357
0.419	-0.18392
0.42	-0.18426
0.421	-0.18461
0.422	-0.18492
0.423	-0.18523
0.424	-0.18553
0.425	-0.18584
0.426	-0.18615
0.427	-0.18646
0.428	-0.18676
0.429	-0.18707
0.43	-0.18738
0.431	-0.18765
0.432	-0.18792
0.433	-0.18819
0.434	-0.18846
0.435	-0.18873
0.436	-0.189
0.437	-0.18925
0.438	-0.18947
0.439	-0.1897
0.44	-0.18992
0.441	-0.19014
0.442	-0.19037
0.443	-0.19059
0.444	-0.19081
0.445	-0.19104
0.446	-0.19126
0.447	-0.19148
0.448	-0.1917
0.449	-0.19193
0.45	-0.19215
0.451	-0.19237
0.452	-0.1926
0.453	-0.19282
0.454	-0.19304
0.455	-0.19327
0.456	-0.19349
0.457	-0.19371
0.458	-0.19393
0.459	-0.19416
0.46	-0.19438
0.461	-0.1946
0.462	-0.19483
0.463	-0.19505
0.464	-0.19527
0.465	-0.19549
0.466	-0.19572
0.467	-0.19594
0.468	-0.19616
0.469	-0.19639
0.47	-0.19661
0.471	-0.19683
0.472	-0.19706
0.473	-0.19728
0.474	-0.1975
0.475	-0.19772
0.476	-0.19795
0.477	-0.19817
0.478	-0.19839
0.479	-0.19862
0.48	-0.19884
0.481	-0.19906
0.482	-0.19922
0.483	-0.19935
0.484	-0.19948
0.485	-0.19961
0.486	-0.19974
0.487	-0.19987
0.488	-0.2
0.489	-0.20014
0.49	-0.20027
0.491	-0.2004
0.492	-0.20053
0.493	-0.20066
0.494	-0.20079
0.495	-0.20092
